execution_mode,prompt_length,request_count,request_rate,arrival_pattern,max_num_batched_tokens,request_throughput_rps,output_throughput_tok_s,total_throughput_tok_s,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,itl_p95_ms,itl_p99_ms,e2e_p95_ms,exact_fraction_vs_first_budget,min_matched_prefix_vs_first_budget,decode_only_iterations,prefill_only_iterations,mixed_iterations,mean_token_budget_utilization
fully-eager,8192,1,0.0,burst,1024,0.48981059793435705,31.34787826779885,4043.876296546052,139.77895211428404,139.77895211428404,139.77895211428404,30.1894840769588,30.1894840769588,30.1894840769588,30.283400882035494,30.323967738077044,2041.5925118140876,1.0,64,63,8,0,0.11354258362676056
fully-eager,8192,1,0.0,burst,2048,0.5028011924470027,32.179276316608174,4151.126644842455,88.05506629869342,88.05506629869342,88.05506629869342,30.16978185180397,30.16978185180397,30.16978185180397,30.260303895920515,30.272352257743478,1988.8442819938064,1.0,64,63,4,0,0.060160622667910446
fully-eager,8192,1,0.0,burst,4096,0.5051313990425269,32.32840953872172,4170.364830495102,78.14715802669525,78.14715802669525,78.14715802669525,30.183480764251378,30.183480764251378,30.183480764251378,30.27476780116558,30.289244521409273,1979.670078959316,1.0,64,63,2,0,0.031005859375
fully-eager,8192,1,0.0,burst,8192,0.50890444639177,32.56988456907328,4201.515109410454,74.04259918257594,74.04259918257594,74.04259918257594,30.015071632251853,30.015071632251853,30.015071632251853,30.133855575695634,30.302022183313966,1964.9921120144427,1.0,64,63,1,0,0.015745162963867188
fully-eager,8192,1,0.0,burst,16384,0.5056608877809888,32.362296817983285,4174.736289519844,74.61493834853172,74.61493834853172,74.61493834853172,30.212318162537283,30.212318162537283,30.212318162537283,30.285598104819655,30.389114608988166,1977.594112046063,1.0,64,63,1,0,0.007872581481933594
fully-eager,8192,1,20.0,poisson,512,0.46194853997473045,29.56470655838275,3813.847146031375,263.28975101932883,263.28975101932883,263.28975101932883,30.18159933003878,30.18159933003878,30.18159933003878,30.274897860363126,30.29496385715902,2164.730508811772,1.0,64,63,16,0,0.20408920094936708
fully-eager,8192,1,20.0,poisson,1024,0.49031989719888686,31.38047342072876,4048.08107127401,139.7862727753818,139.7862727753818,139.7862727753818,30.152326745409813,30.152326745409813,30.152326745409813,30.2687908988446,30.294535625725985,2039.4718279130757,1.0,64,63,8,0,0.11354258362676056
fully-eager,8192,1,20.0,poisson,2048,0.5039431745191209,32.252363169223734,4160.554848829862,87.8812437877059,87.8812437877059,87.8812437877059,30.10249479363362,30.10249479363362,30.10249479363362,30.283299693837762,30.31632585451007,1984.338415786624,1.0,64,63,4,0,0.060160622667910446
fully-eager,8192,1,20.0,poisson,4096,0.5055681938011596,32.35636440327421,4173.971008022373,78.31780798733234,78.31780798733234,78.31780798733234,30.153039258919538,30.153039258919538,30.153039258919538,30.279340595006943,30.304137906059623,1977.9592812992632,1.0,64,63,2,0,0.031005859375
fully-eager,8192,1,20.0,poisson,8192,0.5059356783343866,32.37988341340074,4177.004960328696,74.16474167257547,74.16474167257547,74.16474167257547,30.196145509502717,30.196145509502717,30.196145509502717,30.295095406472683,30.638090567663312,1976.5219087712467,1.0,64,63,1,0,0.015745162963867188
fully-eager,8192,1,20.0,poisson,16384,0.5062892678308616,32.40251314117514,4179.9241952115935,74.28849814459682,74.28849814459682,74.28849814459682,30.17228390164082,30.17228390164082,30.17228390164082,30.300123430788517,30.338918697088957,1975.1423839479685,1.0,64,63,1,0,0.007872581481933594
fully-eager,8192,4,0.0,burst,512,0.9833648464728552,62.93535017426273,8118.660172479892,1259.352825814858,2116.970241558738,2193.2401866698638,33.233046110364654,37.00572488541227,37.35297656906325,43.74096682295203,44.99803017824888,3995.5213392619044,1.0,64,63,16,49,0.50384521484375
fully-eager,8192,4,0.0,burst,1024,1.3046461297230993,83.49735230227836,10771.15844699391,699.83606855385,1163.4029868524522,1204.399720048532,31.870158962048,34.45589490242243,34.69560670452044,45.59559626504778,47.511161770671606,3029.7918950906023,1.0,64,63,8,25,0.3358968098958333
fully-eager,8192,4,0.0,burst,2048,1.545170988148109,98.89094324147898,12756.931678150788,442.55283917300403,711.0263947397472,734.3822292983532,31.253715492932805,33.35885674737039,33.560030690083906,50.91224752832204,54.354989901185036,2570.6390022300184,1.0,64,63,4,13,0.2015380859375
fully-eager,8192,4,0.0,burst,4096,1.6832348810082838,107.72703238453016,13896.787177604392,345.50635726191103,512.8125104354694,526.6690597543493,30.81868011652241,32.93823633816034,33.14838629334219,35.21457111928599,73.90356995165348,2367.3470113659278,1.0,64,63,2,7,0.1119656032986111
fully-eager,8192,4,0.0,burst,8192,1.7450881825492472,111.68564368315182,14407.448035126585,341.979471500963,431.1769536929205,436.1861409107224,30.24261379392729,32.96269098932426,33.25924976433198,29.524930752813816,106.97751763276757,2287.6020421274006,1.0,64,63,1,4,0.05927590762867647
fully-eager,8192,4,0.0,burst,16384,1.815856273221188,116.21480148615603,14991.709391714128,226.65962297469378,349.59562385920435,354.60654065478593,30.656438557401536,31.813110128813793,31.813110128813793,29.508434236049652,41.761120315641165,2198.2858513016254,1.0,64,63,1,2,0.03053607362689394
fully-eager,8192,4,20.0,poisson,512,0.9835238859555544,62.94552870115548,8119.973202449057,1141.0683560414932,1950.9236118017502,2023.0251312692678,33.20315125073114,36.95117159273534,37.296148632756534,43.684764765203,44.983582105487585,3831.1675927095853,1.0,64,63,16,49,0.50384521484375
fully-eager,8192,4,20.0,poisson,1024,1.3047440700845452,83.50362048541089,10771.967042618006,581.6181154685785,998.9823894534996,1035.9287451597888,31.865714295279414,34.455986068924034,34.69587847043479,45.59328490868211,47.53106506541371,2865.8662110759683,1.0,64,63,8,25,0.3358968098958333
fully-eager,8192,4,20.0,poisson,2048,1.5264371227421907,97.6919758555002,12602.264885359527,355.232005868735,578.0994662043444,597.4828891660113,31.239901111269045,33.389298333269025,33.59293697594059,50.92881435994059,54.334971122443676,2438.6785150931023,1.0,64,64,4,13,0.1990499614197531
fully-eager,8192,4,20.0,poisson,4096,1.659223546023688,106.19030694551603,13698.549595971566,261.39782990764286,383.3568955964214,393.2512080547426,30.81170653199984,32.99359759123671,33.21323247079457,35.23282774258392,74.25174534786493,2238.021819731853,1.0,64,64,2,7,0.1104318279109589
