batch_size,query_length,prefix_length,context_length,attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup_vs_sdpa,speedup_vs_production,max_abs_error,status,error
1,1536,2048,3584,4326144,64,32,4,2,0.5851359963417053,0.27406400442123413,2.1350341048157353,1.0,0.0001220703125,ok,
1,1536,2048,3584,4326144,64,64,4,2,0.5851359963417053,0.2906399965286255,2.0132672836860377,0.9429672711761171,0.0001220703125,ok,
1,1536,2048,3584,4326144,128,64,8,2,0.5851359963417053,0.31963199377059937,1.8306552777744107,0.857436082002262,0.0001220703125,ok,
1,1536,8192,9728,13763328,32,16,4,2,1.4757919907569885,1.9817280173301697,0.7446995641436255,0.3442329058043071,6.103515625e-05,ok,
1,1536,8192,9728,13763328,32,32,2,2,1.4757919907569885,1.3858880400657654,1.0648710055156814,0.49223023375466957,6.103515625e-05,ok,
1,1536,8192,9728,13763328,32,32,4,2,1.4757919907569885,1.3500320315361023,1.0931533150941561,0.5053035616815511,6.103515625e-05,ok,
1,1536,8192,9728,13763328,64,32,4,2,1.4757919907569885,0.6821759939193726,2.163359607948055,1.0,6.103515625e-05,ok,
1,1536,8192,9728,13763328,64,64,4,2,1.4757919907569885,0.8026240170001984,1.8387089839060022,0.8499321967326626,6.103515625e-05,ok,
1,1536,8192,9728,13763328,128,64,8,2,1.4757919907569885,0.9014080166816711,1.6372075280512608,0.7567893576436656,6.103515625e-05,ok,
1,1536,16384,17920,26346240,32,16,4,2,2.665216088294983,3.718511939048767,0.7167426465159534,0.32886703066337764,3.0517578125e-05,ok,
1,1536,16384,17920,26346240,32,32,2,2,2.665216088294983,2.595616102218628,1.026814437626914,0.4711390019641212,3.0517578125e-05,ok,
1,1536,16384,17920,26346240,32,32,4,2,2.665216088294983,2.540511965751648,1.049086217354792,0.4813580870182892,3.0517578125e-05,ok,
1,1536,16384,17920,26346240,64,32,4,2,2.665216088294983,1.2228959798812866,2.1794299205674963,1.0,3.0517578125e-05,ok,
1,1536,16384,17920,26346240,64,64,4,2,2.665216088294983,1.4963839650154114,1.7811044161165772,0.8172340846145675,3.0517578125e-05,ok,
1,1536,16384,17920,26346240,128,64,8,2,2.665216088294983,1.6669760346412659,1.5988328763637798,0.7336014162581854,3.0517578125e-05,ok,
1,2048,0,2048,2098176,32,16,4,2,0.38518400490283966,0.3632799983024597,1.0602951076380018,0.4522351905968783,0.00048828125,ok,
1,2048,0,2048,2098176,32,32,2,2,0.38518400490283966,0.24776000529527664,1.5546657921797473,0.6630932990034066,0.00048828125,ok,
1,2048,0,2048,2098176,32,32,4,2,0.38518400490283966,0.24585600197315216,1.5667057212819329,0.6682285482307933,0.00048828125,ok,
1,2048,0,2048,2098176,64,32,4,2,0.38518400490283966,0.1642879992723465,2.344565681053218,1.0,0.00048828125,ok,
1,2048,0,2048,2098176,64,64,4,2,0.38518400490283966,0.1637439951300621,2.35235499535044,1.0033222845323415,0.00048828125,ok,
1,2048,0,2048,2098176,128,64,8,2,0.38518400490283966,0.17652799934148788,2.181999492090279,0.9306625571308748,0.00048828125,ok,
1,2048,2048,4096,6292480,32,16,4,2,0.7538720071315765,0.8340159952640533,0.9039059339538172,0.3593216392549519,0.0001220703125,ok,
1,2048,2048,4096,6292480,32,32,2,2,0.7538720071315765,0.5611839890480042,1.3433597925886116,0.5340138001647353,0.0001220703125,ok,
1,2048,2048,4096,6292480,32,32,4,2,0.7538720071315765,0.5374879837036133,1.4025839274339644,0.5575566406492583,0.0001220703125,ok,
1,2048,2048,4096,6292480,64,32,4,2,0.7538720071315765,0.2996799945831299,2.515590031894691,1.0,0.0001220703125,ok,
1,2048,2048,4096,6292480,64,64,4,2,0.7538720071315765,0.3553759902715683,2.1213363529581413,0.8432758621484893,0.0001220703125,ok,
1,2048,2048,4096,6292480,128,64,8,2,0.7538720071315765,0.3690880089998245,2.042526413075465,0.8119472518091813,0.0001220703125,ok,
1,2048,8192,10240,18875392,32,16,4,2,1.7910720109939575,2.236944079399109,0.8006780444306314,0.3158237181470225,6.103515625e-05,ok,
1,2048,8192,10240,18875392,32,32,2,2,1.7910720109939575,1.535535991191864,1.166414868337765,0.4600869015739799,6.103515625e-05,ok,
1,2048,8192,10240,18875392,32,32,4,2,1.7910720109939575,1.4370720386505127,1.2463341870292526,0.4916107038769032,6.103515625e-05,ok,
1,2048,8192,10240,18875392,64,32,4,2,1.7910720109939575,0.7064799964427948,2.535205554314636,1.0,6.103515625e-05,ok,
1,2048,8192,10240,18875392,64,64,4,2,1.7910720109939575,0.8454239964485168,2.1185488210861627,0.8356516959662816,6.103515625e-05,ok,
1,2048,8192,10240,18875392,128,64,8,2,1.7910720109939575,0.9502399861812592,1.88486281049039,0.743475339615979,6.103515625e-05,ok,
1,2048,16384,18432,35652608,32,16,4,2,3.18448007106781,4.15779185295105,0.7659065637948137,0.30027477711936373,3.0517578125e-05,ok,
1,2048,16384,18432,35652608,32,32,2,2,3.18448007106781,2.8413280248641968,1.120771710693282,0.4394001716902274,3.0517578125e-05,ok,
1,2048,16384,18432,35652608,32,32,4,2,3.18448007106781,2.6208319664001465,1.2150645718206285,0.47636782440059944,3.0517578125e-05,ok,
1,2048,16384,18432,35652608,64,32,4,2,3.18448007106781,1.2484800219535828,2.5506856458021927,1.0,3.0517578125e-05,ok,
1,2048,16384,18432,35652608,64,64,4,2,3.18448007106781,1.5435519814491272,2.063085732997561,0.8088357482988534,3.0517578125e-05,ok,
1,2048,16384,18432,35652608,128,64,8,2,3.18448007106781,1.6913599967956543,1.8827925912289096,0.7381515610626215,3.0517578125e-05,ok,
