batch_size,query_length,prefix_length,context_length,attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup_vs_sdpa,speedup_vs_production,max_abs_error,status,error
1,384,16384,16768,6365376,32,32,2,2,1.1744800209999084,1.2139519453048706,0.9674847719816049,0.6802905168791422,3.0517578125e-05,ok,
1,384,16384,16768,6365376,32,32,4,2,1.1744800209999084,1.0663999915122986,1.101350366042612,0.774418607380837,3.0517578125e-05,ok,
1,384,16384,16768,6365376,64,32,4,2,1.1744800209999084,0.8258399963378906,1.4221641313184503,1.0,3.0517578125e-05,ok,
1,384,16384,16768,6365376,64,64,4,2,1.1744800209999084,0.7155199944972992,1.6414356412570406,1.1541815779978288,3.0517578125e-05,ok,
1,384,16384,16768,6365376,128,64,8,2,1.1744800209999084,0.8368320167064667,1.403483611468797,0.9868647229681322,3.0517578125e-05,ok,
1,512,0,512,131328,32,16,4,2,0.1481120064854622,0.09419200196862221,1.5724478022539763,0.7523356725686946,0.00048828125,ok,
1,512,0,512,131328,32,32,2,2,0.1481120064854622,0.08137600123882294,1.8200944287097849,0.8708218894128621,0.00048828125,ok,
1,512,0,512,131328,32,32,4,2,0.1481120064854622,0.07599999755620956,1.948842253263477,0.9324211240828556,0.00048828125,ok,
1,512,0,512,131328,64,32,4,2,0.1481120064854622,0.0708640031516552,2.0900880545583838,1.0,0.00048828125,ok,
1,512,0,512,131328,64,64,4,2,0.1481120064854622,0.06764800101518631,2.189451340213475,1.0475402390049475,0.00048828125,ok,
1,512,0,512,131328,128,64,8,2,0.1481120064854622,0.07073600217700005,2.0938701923646614,1.0018095590748097,0.00048828125,ok,
1,512,2048,2560,1179904,32,16,4,2,0.24619200080633163,0.2932160049676895,0.8396267483197596,0.5656989978296414,0.0001220703125,ok,
1,512,2048,2560,1179904,32,32,2,2,0.24619200080633163,0.223968006670475,1.0992284320704557,0.7406057794758214,0.0001220703125,ok,
1,512,2048,2560,1179904,32,32,4,2,0.24619200080633163,0.20103999972343445,1.2245921266663928,0.8250696398031184,0.0001220703125,ok,
1,512,2048,2560,1179904,64,32,4,2,0.24619200080633163,0.1658720001578331,1.484228806381253,1.0,0.0001220703125,ok,
1,512,2048,2560,1179904,64,64,4,2,0.24619200080633163,0.1504479944705963,1.6363927061483536,1.102520513759665,0.0001220703125,ok,
1,512,2048,2560,1179904,128,64,8,2,0.24619200080633163,0.16511999815702438,1.4909883936178954,1.0045542757340244,0.0001220703125,ok,
1,512,8192,8704,4325632,32,16,4,2,0.6464800238609314,0.8955680131912231,0.7218659156408413,0.49772211742747385,6.103515625e-05,ok,
1,512,8192,8704,4325632,32,32,2,2,0.6464800238609314,0.6572000086307526,0.9836883983124776,0.6782471119477609,6.103515625e-05,ok,
1,512,8192,8704,4325632,32,32,4,2,0.6464800238609314,0.5724000036716461,1.129420020464886,0.7787281708012529,6.103515625e-05,ok,
