implementation,decode_requests,decode_context_length,prefill_requests,prefill_tokens,prefill_chunk_size,prefill_prefix_length,decode_only_median_ms,prefill_only_median_ms,mixed_median_ms,decode_only_median_wall_ms,prefill_only_median_wall_ms,mixed_median_wall_ms,incremental_prefill_ms,incremental_decode_ms,decode_stretch,separate_sum_ms,packing_benefit_ms,packing_speedup,wall_incremental_prefill_ms,wall_decode_stretch,wall_packing_benefit_ms,wall_packing_speedup,mixed_scheduled_tokens_per_second,mixed_peak_gpu_memory_bytes,status,error
custom-kernels,1,2048,2,4096,2048,16384,12.915807723999023,82.60185241699219,91.93814086914062,12.937955558300018,82.62407965958118,91.96053259074688,79.0223331451416,9.336288452148438,7.118264907142371,95.51766014099121,3.579519271850586,1.038933996685287,79.02257703244686,7.10781020821732,3.601502627134323,1.0391635686056988,44562.57176041258,19733610496,ok,
custom-kernels,1,2048,2,8192,4096,0,12.915807723999023,61.747135162353516,73.11264038085938,12.937955558300018,61.769358813762665,73.13467748463154,60.19683265686035,11.36550521850586,5.660709879182226,74.66294288635254,1.550302505493164,1.0212043019841344,60.19672192633152,5.652722886168351,1.5726368874311447,1.021503299686549,112059.96606497743,20020995072,ok,
custom-kernels,1,2048,2,8192,4096,4096,12.915807723999023,88.99139404296875,99.38819122314453,12.937955558300018,89.01329152286053,99.4106400758028,86.47238349914551,10.396797180175781,7.695081356659568,101.90720176696777,2.519010543823242,1.0253451694091866,86.47268451750278,7.683643650486063,2.5406070053577423,1.0255566909479756,82434.34053050858,20020997120,ok,
custom-kernels,1,2048,2,8192,4096,16384,12.915807723999023,169.3559112548828,179.52764892578125,12.937955558300018,169.37917470932007,179.55072037875652,166.61184120178223,10.171737670898438,13.899839077984932,182.27171897888184,2.744070053100586,1.0152849439599971,166.6127648204565,13.877827881667926,2.7664098888635635,1.0154074006666636,45636.42452303867,20021003264,ok,
custom-kernels,1,8192,2,512,256,0,28.73923110961914,16.106239318847656,33.94019317626953,28.761113062500954,16.128435730934143,33.96288864314556,5.200962066650391,17.833953857421875,1.1809708146614126,44.8454704284668,10.905277252197266,1.321308638273222,5.2017755806446075,1.1808614141372276,10.926660150289536,1.3217235219623984,15114.82263332201,19483430912,ok,
custom-kernels,1,8192,2,512,256,4096,28.73923110961914,16.247360229492188,39.52259063720703,28.761113062500954,16.269654035568237,39.545608684420586,10.78335952758789,23.275230407714844,1.3752139187877805,44.98659133911133,5.464000701904297,1.1382500644267084,10.784495621919632,1.37496795059648,5.485158413648605,1.138704614649402,12979.918363880119,19483432960,ok,
custom-kernels,1,8192,2,512,256,16384,28.73923110961914,29.748767852783203,56.666465759277344,28.761113062500954,29.770884662866592,56.692350655794144,27.927234649658203,26.91769790649414,1.9717460617904576,58.487998962402344,1.821533203125,1.032144817551583,27.93123759329319,1.971145919582307,1.8396470695734024,1.0324496523480349,9052.973273103988,19483439104,ok,
custom-kernels,1,8192,2,2048,1024,0,28.73923110961914,16.454208374023438,43.30204772949219,28.761113062500954,16.476215794682503,43.32421533763409,14.562816619873047,26.84783935546875,1.5067225551138288,45.19343948364258,1.8913917541503906,1.043679037212418,14.563102275133133,1.5063469638148552,1.9131135195493698,1.0441580650599231,47318.778382031705,19593540608,ok,
custom-kernels,1,8192,2,2048,1024,4096,28.73923110961914,22.54934310913086,50.179744720458984,28.761113062500954,22.571861743927002,50.20647123456001,21.440513610839844,27.630401611328125,1.7460364381030227,51.28857421875,1.1088294982910156,1.0220971530339198,21.44535817205906,1.745637282029246,1.1265035718679428,1.0224374178102464,40833.20892552476,19593542656,ok,
custom-kernels,1,8192,2,2048,1024,16384,28.73923110961914,43.2982063293457,70.61698913574219,28.761113062500954,43.331725522875786,70.65382227301598,41.87775802612305,27.318782806396484,2.457163480344691,72.03743743896484,1.4204483032226562,1.0201148239341133,41.89270921051502,2.4565746853912684,1.4390163123607635,1.0203671403197438,29015.68057597794,19593548800,ok,
custom-kernels,1,8192,2,4096,2048,0,28.73923110961914,29.00476837158203,57.50729751586914,28.761113062500954,29.026079922914505,57.52913095057011,28.76806640625,28.50252914428711,2.0010033426614955,57.74399948120117,0.23670196533203125,1.0041160335393384,28.768017888069153,2.0002400750469285,0.2580620348453522,1.0044857627880226,71243.13221064565,19733603840,ok,
custom-kernels,1,8192,2,4096,2048,4096,28.73923110961914,42.396095275878906,71.03359985351562,28.761113062500954,42.417680844664574,71.06007821857929,42.294368743896484,28.63750457763672,2.471659717776527,71.13532638549805,0.10172653198242188,1.0014320903374205,42.29896515607834,2.4706998670099516,0.11871568858623505,1.0016706383044087,57676.93047302642,19733605888,ok,
custom-kernels,1,8192,2,4096,2048,16384,28.73923110961914,82.60185241699219,111.61779022216797,28.761113062500954,82.62407965958118,111.641064286232,82.87855911254883,29.01593780517578,3.883812680876108,111.34108352661133,-0.2767066955566406,0.9975209445106745,82.87995122373104,3.881667028797672,-0.25587156414985657,0.997708087379982,36705.61826967894,19733612032,ok,
custom-kernels,1,8192,2,8192,4096,0,28.73923110961914,61.747135162353516,92.27967834472656,28.761113062500954,61.769358813762665,92.30702556669712,63.54044723510742,30.532543182373047,3.210930661044727,90.48636627197266,-1.7933120727539062,0.9805665547938444,63.54591250419617,3.2094385695749725,-1.7765536904335022,0.9807538626715923,88784.44471158258,20020996608,ok,
custom-kernels,1,8192,2,8192,4096,4096,28.73923110961914,88.99139404296875,118.7127685546875,28.761113062500954,89.01329152286053,118.73524449765682,89.97353744506836,29.72137451171875,4.130687007661588,117.73062515258789,-0.9821434020996094,0.9917267248160659,89.97413143515587,4.12832577931294,-0.9608399122953415,0.9919077110056037,69015.32244381719,20020998656,ok,
custom-kernels,1,8192,2,8192,4096,16384,28.73923110961914,169.3559112548828,199.4147186279297,28.761113062500954,169.37917470932007,199.43717680871487,170.67548751831055,30.058807373046875,6.9387631794082605,198.09514236450195,-1.3195762634277344,0.9933827539285612,170.6760637462139,6.934264900503562,-1.2968890368938446,0.9934972553380169,41085.232105091476,20021004800,ok,
custom-kernels,8,128,2,512,256,0,14.422975540161133,16.106239318847656,20.533472061157227,14.446474611759186,16.128435730934143,20.560787990689278,6.110496520996094,4.42723274230957,1.4236640701484422,30.52921485900879,9.995742797851562,1.4868023667931112,6.114313378930092,1.4232391322622853,10.014122352004051,1.4870495409290165,25324.504226621957,19483833856,ok,
custom-kernels,8,128,2,512,256,4096,14.422975540161133,16.247360229492188,20.702367782592773,14.446474611759186,16.269654035568237,20.724542438983917,6.279392242431641,4.455007553100586,1.4353742558147253,30.67033576965332,9.967967987060547,1.4814892717461015,6.2780678272247314,1.4345743855123305,9.991586208343506,1.4821137179631443,25117.89982000189,19483835904,ok,
custom-kernels,8,128,2,512,256,16384,14.422975540161133,29.748767852783203,31.742431640625,14.446474611759186,29.770884662866592,31.765567138791084,17.319456100463867,1.9936637878417969,2.2008240638166106,44.171743392944336,12.429311752319336,1.3915677252782328,17.3190925270319,2.198845600222386,12.451792135834694,1.39199023525788,16381.857757062538,19483842048,ok,
custom-kernels,8,128,2,2048,1024,0,14.422975540161133,16.454208374023438,21.11452865600586,14.446474611759186,16.476215794682503,21.13724872469902,6.691553115844727,4.660320281982422,1.4639509439097316,30.87718391418457,9.762655258178711,1.4623667152239177,6.690774112939835,1.4631423439109261,9.785441681742668,1.4629477473247647,97373.71046713785,19593793024,ok,
