batch_size,context_length,k_splits,num_kv_blocks,production_programs,splitk_programs,production_median_ms,splitk_median_ms,speedup,kv_bytes,production_gbps,splitk_gbps,max_abs_error,status,error
16,2048,2,128,192,384,0.2687840014696121,0.21484800428152084,1.2510425794666333,33554432,124.8379063357071,156.177536357437,3.0517578125e-05,ok,
16,2048,4,128,192,768,0.2687840014696121,0.20191999524831772,1.3311410845620624,33554432,124.8379063357071,166.17686603417027,3.0517578125e-05,ok,
16,2048,8,128,192,1536,0.2687840014696121,0.2030239999294281,1.323902600495717,33554432,124.8379063357071,165.2732288382834,3.0517578125e-05,ok,
16,2048,16,128,192,3072,0.2687840014696121,0.20279999822378159,1.3253649103735192,33554432,124.8379063357071,165.45578054184222,3.0517578125e-05,ok,
16,2048,auto(3),128,192,576,0.2687840014696121,0.21512000262737274,1.2494607576553225,33554432,124.8379063357071,155.98006503431677,3.0517578125e-05,ok,
16,4096,1,256,192,192,0.5039680004119873,0.5039680004119873,1.0,67108864,133.16096249194268,133.16096249194268,0.0,ok,
16,4096,2,256,192,384,0.5039680004119873,0.36208000779151917,1.3918691713632678,67108864,133.16096249194268,185.34263852159543,3.0517578125e-05,ok,
16,4096,4,256,192,768,0.5039680004119873,0.3400319963693619,1.482119346982126,67108864,133.16096249194268,197.3604387720695,3.0517578125e-05,ok,
16,4096,8,256,192,1536,0.5039680004119873,0.339151993393898,1.4859650252052878,67108864,133.16096249194268,197.87253298570002,3.0517578125e-05,ok,
16,4096,16,256,192,3072,0.5039680004119873,0.3360320031642914,1.4997619145388046,67108864,133.16096249194268,199.70974004874594,3.0517578125e-05,ok,
16,4096,auto(3),256,192,576,0.5039680004119873,0.3641919940710068,1.3837975809916576,67108864,133.16096249194268,184.26781777887112,3.0517578125e-05,ok,
16,8192,1,512,192,192,0.9771680235862732,0.9771680235862732,1.0,134217728,137.35378641168774,137.35378641168774,0.0,ok,
16,8192,2,512,192,384,0.9771680235862732,0.6548320055007935,1.4922423085276169,134217728,137.35378641168774,204.9651313199861,1.52587890625e-05,ok,
16,8192,4,512,192,768,0.9771680235862732,0.612496018409729,1.5953867359389053,134217728,137.35378641168774,219.13240897219202,1.52587890625e-05,ok,
16,8192,8,512,192,1536,0.9771680235862732,0.6112479865550995,1.5986441592935845,134217728,137.35378641168774,219.57982840390304,1.52587890625e-05,ok,
16,8192,16,512,192,3072,0.9771680235862732,0.6052320003509521,1.6145346297281848,134217728,137.35378641168774,221.76244468595843,1.52587890625e-05,ok,
16,8192,auto(3),512,192,576,0.9771680235862732,0.6645919978618622,1.4703276998971346,134217728,137.35378641168774,201.9550768468591,3.0517578125e-05,ok,
16,16384,1,1024,192,192,1.9099519848823547,1.9099519848823547,1.0,268435456,140.54565671007407,140.54565671007407,0.0,ok,
16,16384,2,1024,192,384,1.9099519848823547,1.23580801486969,1.5455086566045213,268435456,140.54565671007407,217.21452909358675,3.0517578125e-05,ok,
16,16384,4,1024,192,768,1.9099519848823547,1.156495988368988,1.651499014342427,268435456,140.54565671007407,232.11101352679646,3.0517578125e-05,ok,
16,16384,8,1024,192,1536,1.9099519848823547,1.1577759981155396,1.649673156112321,268435456,140.54565671007407,231.85439708278668,3.0517578125e-05,ok,
16,16384,16,1024,192,3072,1.9099519848823547,1.139136016368866,1.6766671911318878,268435456,140.54565671007407,235.64829146186645,3.0517578125e-05,ok,
16,16384,auto(3),1024,192,576,1.9099519848823547,1.266480028629303,1.508079039311401,268435456,140.54565671007407,211.9539589507184,3.0517578125e-05,ok,
32,512,1,32,384,384,0.10756799951195717,0.10756799951195717,1.0,16777216,155.9684671660651,155.9684671660651,0.0,ok,
32,512,2,32,384,768,0.10756799951195717,0.13225600123405457,0.8133317090208494,16777216,155.9684671660651,126.85409995353797,6.103515625e-05,ok,
32,512,4,32,384,1536,0.10756799951195717,0.13252799957990646,0.811662440034795,16777216,155.9684671660651,126.59374662849523,6.103515625e-05,ok,
32,512,8,32,384,3072,0.10756799951195717,0.13276800513267517,0.8101951927685016,16777216,155.9684671660651,126.36490232141784,6.103515625e-05,ok,
32,512,16,32,384,6144,0.10756799951195717,0.1340320035815239,0.802554588736934,16777216,155.9684671660651,125.17320902239138,6.103515625e-05,ok,
32,512,auto(2),32,384,768,0.10756799951195717,0.13232000172138214,0.8129383170539576,16777216,155.9684671660651,126.79274321146643,6.103515625e-05,ok,
32,2048,1,128,384,384,0.3298240005970001,0.3298240005970001,1.0,67108864,203.4687102167494,203.4687102167494,0.0,ok,
32,2048,2,128,384,768,0.3298240005970001,0.33745600283145905,0.9773837117419105,67108864,203.4687102167494,198.86700321498571,3.0517578125e-05,ok,
32,2048,4,128,384,1536,0.3298240005970001,0.33769600093364716,0.9766890922164229,67108864,203.4687102167494,198.72566987604336,6.103515625e-05,ok,
32,2048,8,128,384,3072,0.3298240005970001,0.33473600447177887,0.9853257378675772,67108864,203.4687102167494,200.48295702728285,6.103515625e-05,ok,
32,2048,16,128,384,6144,0.3298240005970001,0.3317920118570328,0.9940685393568768,67108864,203.4687102167494,202.2618435699917,6.103515625e-05,ok,
32,2048,auto(2),128,384,768,0.3298240005970001,0.3367200046777725,0.9795200641928845,67108864,203.4687102167494,199.3016840927538,3.0517578125e-05,ok,
32,4096,1,256,384,384,0.6287040114402771,0.6287040114402771,1.0,134217728,213.483174208679,213.483174208679,0.0,ok,
32,4096,2,256,384,768,0.6287040114402771,0.6085440218448639,1.0331282353810594,134217728,213.483174208679,220.5554950537598,6.103515625e-05,ok,
32,4096,4,256,384,1536,0.6287040114402771,0.6088480055332184,1.0326124184141314,134217728,213.483174208679,220.44537681034936,6.103515625e-05,ok,
32,4096,8,256,384,3072,0.6287040114402771,0.6032960116863251,1.0421153119891045,134217728,213.483174208679,222.47408469490188,6.103515625e-05,ok,
32,4096,16,256,384,6144,0.6287040114402771,0.5942879915237427,1.0579113500649617,134217728,213.483174208679,225.846273043257,6.103515625e-05,ok,
