batch_size,context_length,variant,kernel_family,heads_per_program,num_warps,num_stages,median_ms,speedup_vs_production_default,max_abs_error,status,error
4,128,candidate-h3-w4-s2,candidate,3,4,2,0.0796000026166439,0.5632160448809482,6.103515625e-05,ok,
4,128,candidate-h6-w4-s2,candidate,6,4,2,0.11382400244474411,0.39387121945587017,6.103515625e-05,ok,
4,256,production-default,production,,,,0.05704000033438206,1.0,0.0,ok,
4,256,production-w4-s2,production,,4,2,0.058639999479055405,0.9727148847393011,0.0,ok,
4,256,production-w8-s2,production,,8,2,0.07091199979186058,0.8043772633941318,1.9073486328125e-06,ok,
4,256,candidate-h1-w4-s2,candidate,1,4,2,0.0663679987192154,0.859450359136223,6.103515625e-05,ok,
4,256,candidate-h1-w8-s2,candidate,1,8,2,0.06548799946904182,0.8709992792091108,6.103515625e-05,ok,
4,256,candidate-h2-w4-s2,candidate,2,4,2,0.08875199779868126,0.6426897619112479,6.103515625e-05,ok,
4,256,candidate-h3-w4-s2,candidate,3,4,2,0.11884799972176552,0.47994076861131973,6.103515625e-05,ok,
4,256,candidate-h6-w4-s2,candidate,6,4,2,0.1865440011024475,0.3057723646822416,6.103515625e-05,ok,
4,512,production-default,production,,,,0.08054400235414505,1.0,0.0,ok,
4,512,production-w4-s2,production,,4,2,0.0822720006108284,0.9789965207621812,0.0,ok,
4,512,production-w8-s2,production,,8,2,0.10716799646615982,0.7515676788786309,6.103515625e-05,ok,
4,512,candidate-h1-w4-s2,candidate,1,4,2,0.0915519967675209,0.8797623776428537,3.814697265625e-06,ok,
4,512,candidate-h1-w8-s2,candidate,1,8,2,0.08879999816417694,0.9070270722892597,3.814697265625e-06,ok,
4,512,candidate-h2-w4-s2,candidate,2,4,2,0.13715199381113052,0.587260892940869,3.814697265625e-06,ok,
4,512,candidate-h3-w4-s2,candidate,3,4,2,0.19681599736213684,0.40923503898895963,3.814697265625e-06,ok,
4,512,candidate-h6-w4-s2,candidate,6,4,2,0.33108799159526825,0.24327068452728548,3.814697265625e-06,ok,
4,1024,production-default,production,,,,0.128431998193264,1.0,0.0,ok,
4,1024,production-w4-s2,production,,4,2,0.12998400628566742,0.9880600072520265,0.0,ok,
4,1024,production-w8-s2,production,,8,2,0.17899200320243835,0.717529252119764,6.103515625e-05,ok,
4,1024,candidate-h1-w4-s2,candidate,1,4,2,0.1425280049443245,0.9011000907746741,3.0517578125e-05,ok,
4,1024,candidate-h1-w8-s2,candidate,1,8,2,0.13710399717092514,0.9367487516293934,3.0517578125e-05,ok,
4,1024,candidate-h2-w4-s2,candidate,2,4,2,0.2335680052638054,0.5498698250567554,3.0517578125e-05,ok,
4,1024,candidate-h3-w4-s2,candidate,3,4,2,0.35199999809265137,0.3648636332079152,3.0517578125e-05,ok,
4,1024,candidate-h6-w4-s2,candidate,6,4,2,0.6228959858417511,0.2061853039873219,3.0517578125e-05,ok,
4,2048,production-default,production,,,,0.2239520028233528,1.0,0.0,ok,
4,2048,production-w4-s2,production,,4,2,0.22497600317001343,0.9954484019085058,0.0,ok,
4,2048,production-w8-s2,production,,8,2,0.32412800192832947,0.6909369184118582,3.814697265625e-06,ok,
4,2048,candidate-h1-w4-s2,candidate,1,4,2,0.2452000007033348,0.9133442177037766,3.814697265625e-06,ok,
4,2048,candidate-h1-w8-s2,candidate,1,8,2,0.2343520000576973,0.9556223235484058,1.52587890625e-05,ok,
4,2048,candidate-h2-w4-s2,candidate,2,4,2,0.42667199671268463,0.5248809496493841,3.814697265625e-06,ok,
4,2048,candidate-h3-w4-s2,candidate,3,4,2,0.6656799912452698,0.33642591901314595,3.814697265625e-06,ok,
4,2048,candidate-h6-w4-s2,candidate,6,4,2,1.2032959461212158,0.1861154801902679,3.814697265625e-06,ok,
4,4096,production-default,production,,,,0.41571201384067535,1.0,0.0,ok,
4,4096,production-w4-s2,production,,4,2,0.41684800386428833,0.9972748099713036,0.0,ok,
4,4096,production-w8-s2,production,,8,2,0.6154879927635193,0.6754185601154348,3.814697265625e-06,ok,
4,4096,candidate-h1-w4-s2,candidate,1,4,2,0.4495040029287338,0.9248238305601564,3.814697265625e-06,ok,
4,4096,candidate-h1-w8-s2,candidate,1,8,2,0.4286720007658005,0.9697671252100143,3.0517578125e-05,ok,
4,4096,candidate-h2-w4-s2,candidate,2,4,2,0.813759982585907,0.5108533507873613,3.814697265625e-06,ok,
4,4096,candidate-h3-w4-s2,candidate,3,4,2,1.291152000427246,0.3219698484013617,3.814697265625e-06,ok,
4,4096,candidate-h6-w4-s2,candidate,6,4,2,2.367664098739624,0.1755789658093692,3.814697265625e-06,ok,
4,8192,production-default,production,,,,1.0388480424880981,1.0,0.0,ok,
4,8192,production-w4-s2,production,,4,2,1.0406399965286255,0.998278026938706,0.0,ok,
4,8192,production-w8-s2,production,,8,2,1.4133920073509216,0.73500347892527,1.9073486328125e-06,ok,
4,8192,candidate-h1-w4-s2,candidate,1,4,2,0.9902079999446869,1.0491210357279765,1.52587890625e-05,ok,
4,8192,candidate-h1-w8-s2,candidate,1,8,2,0.9354879856109619,1.1104878506907092,3.0517578125e-05,ok,
4,8192,candidate-h2-w4-s2,candidate,2,4,2,1.8174239993095398,0.5716046684113165,1.52587890625e-05,ok,
4,8192,candidate-h3-w4-s2,candidate,3,4,2,2.713711977005005,0.38281440745772344,1.52587890625e-05,ok,
4,8192,candidate-h6-w4-s2,candidate,6,4,2,4.8100481033325195,0.2159745641147245,1.52587890625e-05,ok,
4,16384,production-default,production,,,,2.1308799982070923,1.0,0.0,ok,
4,16384,production-w4-s2,production,,4,2,2.131648063659668,0.9996396846807549,0.0,ok,
4,16384,production-w8-s2,production,,8,2,2.8976160287857056,0.7353907408843514,1.52587890625e-05,ok,
4,16384,candidate-h1-w4-s2,candidate,1,4,2,1.9439520239830017,1.0961587384451443,1.52587890625e-05,ok,
4,16384,candidate-h1-w8-s2,candidate,1,8,2,1.8296480178833008,1.164639306237865,1.52587890625e-05,ok,
4,16384,candidate-h2-w4-s2,candidate,2,4,2,3.602112054824829,0.591564050694341,1.52587890625e-05,ok,
4,16384,candidate-h3-w4-s2,candidate,3,4,2,5.490447998046875,0.3881067626840493,1.52587890625e-05,ok,
4,16384,candidate-h6-w4-s2,candidate,6,4,2,9.766128063201904,0.21819087200341974,1.52587890625e-05,ok,
8,128,production-default,production,,,,0.0440480001270771,1.0,0.0,ok,
8,128,production-w4-s2,production,,4,2,0.045471999794244766,0.9686840325120715,0.0,ok,
8,128,production-w8-s2,production,,8,2,0.05164800025522709,0.8528500602038155,3.0517578125e-05,ok,
8,128,candidate-h1-w4-s2,candidate,1,4,2,0.05254399962723255,0.8383069511185035,3.0517578125e-05,ok,
8,128,candidate-h1-w8-s2,candidate,1,8,2,0.052239999175071716,0.8431853143691523,6.103515625e-05,ok,
8,128,candidate-h2-w4-s2,candidate,2,4,2,0.06414399668574333,0.6867049514061108,3.0517578125e-05,ok,
8,128,candidate-h3-w4-s2,candidate,3,4,2,0.07948800176382065,0.5541465271445,3.0517578125e-05,ok,
8,128,candidate-h6-w4-s2,candidate,6,4,2,0.11300799995660782,0.38977771612620704,3.0517578125e-05,ok,
8,256,production-default,production,,,,0.05603200010955334,1.0,0.0,ok,
8,256,production-w4-s2,production,,4,2,0.057951999828219414,0.9668691378320452,0.0,ok,
8,256,production-w8-s2,production,,8,2,0.07012799754738808,0.7989961508838243,3.0517578125e-05,ok,
8,256,candidate-h1-w4-s2,candidate,1,4,2,0.06571200117468834,0.8526905147904147,6.103515625e-05,ok,
8,256,candidate-h1-w8-s2,candidate,1,8,2,0.06371200084686279,0.8794575490452892,6.103515625e-05,ok,
8,256,candidate-h2-w4-s2,candidate,2,4,2,0.0883840024471283,0.6339608815868225,6.103515625e-05,ok,
8,256,candidate-h3-w4-s2,candidate,3,4,2,0.11851200088858604,0.47279600115965814,6.103515625e-05,ok,
8,256,candidate-h6-w4-s2,candidate,6,4,2,0.18588800728321075,0.3014288061315621,6.103515625e-05,ok,
8,512,production-default,production,,,,0.08038400113582611,1.0,0.0,ok,
8,512,production-w4-s2,production,,4,2,0.08156800270080566,0.9854844850213813,0.0,ok,
8,512,production-w8-s2,production,,8,2,0.10691200196743011,0.7518706941837499,1.52587890625e-05,ok,
8,512,candidate-h1-w4-s2,candidate,1,4,2,0.09124800190329552,0.8809398502886336,6.103515625e-05,ok,
8,512,candidate-h1-w8-s2,candidate,1,8,2,0.08908800035715103,0.9022988597069094,6.103515625e-05,ok,
8,512,candidate-h2-w4-s2,candidate,2,4,2,0.13708799332380295,0.5863679173270736,6.103515625e-05,ok,
8,512,candidate-h3-w4-s2,candidate,3,4,2,0.19780799746513367,0.4063738684276144,6.103515625e-05,ok,
8,512,candidate-h6-w4-s2,candidate,6,4,2,0.3317919969558716,0.24227227260854398,6.103515625e-05,ok,
8,1024,production-default,production,,,,0.1287359967827797,1.0,0.0,ok,
8,1024,production-w4-s2,production,,4,2,0.12920000404119492,0.9964086126632994,0.0,ok,
8,1024,production-w8-s2,production,,8,2,0.179407998919487,0.7175599614181785,6.103515625e-05,ok,
8,1024,candidate-h1-w4-s2,candidate,1,4,2,0.14297600090503693,0.9004028366151093,6.103515625e-05,ok,
8,1024,candidate-h1-w8-s2,candidate,1,8,2,0.13769599795341492,0.9349291097504042,6.103515625e-05,ok,
8,1024,candidate-h2-w4-s2,candidate,2,4,2,0.23403199762105942,0.55007861357158,6.103515625e-05,ok,
8,1024,candidate-h3-w4-s2,candidate,3,4,2,0.35600000619888306,0.36161796219424786,6.103515625e-05,ok,
8,1024,candidate-h6-w4-s2,candidate,6,4,2,0.623088002204895,0.20660965437823725,6.103515625e-05,ok,
8,2048,production-default,production,,,,0.22438400238752365,1.0,0.0,ok,
8,2048,production-w4-s2,production,,4,2,0.22537599503993988,0.9955984990671236,0.0,ok,
8,2048,production-w8-s2,production,,8,2,0.3248800039291382,0.690667322315305,3.814697265625e-06,ok,
8,2048,candidate-h1-w4-s2,candidate,1,4,2,0.24560000002384186,0.9136156448116505,3.0517578125e-05,ok,
8,2048,candidate-h1-w8-s2,candidate,1,8,2,0.23492799699306488,0.9551181862506899,6.103515625e-05,ok,
8,2048,candidate-h2-w4-s2,candidate,2,4,2,0.4277919977903366,0.5245165957907786,3.0517578125e-05,ok,
8,2048,candidate-h3-w4-s2,candidate,3,4,2,0.6719840168952942,0.333912707365012,6.103515625e-05,ok,
8,2048,candidate-h6-w4-s2,candidate,6,4,2,1.2045440077781677,0.1862812823264211,6.103515625e-05,ok,
8,4096,production-default,production,,,,0.5526240170001984,1.0,0.0,ok,
8,4096,production-w4-s2,production,,4,2,0.555296003818512,0.9951881756757844,0.0,ok,
8,4096,production-w8-s2,production,,8,2,0.732560008764267,0.7543737173592139,1.9073486328125e-06,ok,
8,4096,candidate-h1-w4-s2,candidate,1,4,2,0.5162560045719147,1.0704456938151072,1.52587890625e-05,ok,
8,4096,candidate-h1-w8-s2,candidate,1,8,2,0.4890720099210739,1.1299440691553386,1.52587890625e-05,ok,
8,4096,candidate-h2-w4-s2,candidate,2,4,2,0.9236160218715668,0.5983265815164078,1.52587890625e-05,ok,
8,4096,candidate-h3-w4-s2,candidate,3,4,2,1.4021120071411133,0.39413685510545693,1.52587890625e-05,ok,
8,4096,candidate-h6-w4-s2,candidate,6,4,2,2.4124480485916138,0.2290718829459644,1.52587890625e-05,ok,
8,8192,production-default,production,,,,1.0396479964256287,1.0,0.0,ok,
8,8192,production-w4-s2,production,,4,2,1.0406879782676697,0.9990006785282827,0.0,ok,
8,8192,production-w8-s2,production,,8,2,1.4126720428466797,0.7359443415689255,7.62939453125e-06,ok,
8,8192,candidate-h1-w4-s2,candidate,1,4,2,0.9931039810180664,1.0468672125952494,7.62939453125e-06,ok,
8,8192,candidate-h1-w8-s2,candidate,1,8,2,0.9366240203380585,1.109995018118781,7.62939453125e-06,ok,
8,8192,candidate-h2-w4-s2,candidate,2,4,2,1.8227039575576782,0.5703877429545383,7.62939453125e-06,ok,
8,8192,candidate-h3-w4-s2,candidate,3,4,2,2.7902719974517822,0.37259736591095344,7.62939453125e-06,ok,
8,8192,candidate-h6-w4-s2,candidate,6,4,2,4.906752109527588,0.21188109226201032,7.62939453125e-06,ok,
8,16384,production-default,production,,,,2.1201919317245483,1.0,0.0,ok,
8,16384,production-w4-s2,production,,4,2,2.119584083557129,1.000286777095627,0.0,ok,
8,16384,production-w8-s2,production,,8,2,2.8346240520477295,0.7479623021588785,1.52587890625e-05,ok,
8,16384,candidate-h1-w4-s2,candidate,1,4,2,1.9423199892044067,1.0915770539915,7.62939453125e-06,ok,
8,16384,candidate-h1-w8-s2,candidate,1,8,2,1.8321599960327148,1.1572089426226564,7.62939453125e-06,ok,
8,16384,candidate-h2-w4-s2,candidate,2,4,2,3.57041597366333,0.5938221057052862,7.62939453125e-06,ok,
8,16384,candidate-h3-w4-s2,candidate,3,4,2,5.512192010879517,0.38463680647188736,7.62939453125e-06,ok,
8,16384,candidate-h6-w4-s2,candidate,6,4,2,9.80948781967163,0.21613686368749893,7.62939453125e-06,ok,
