batch_size,context_length,heads_per_program,num_warps,num_programs,kv_read_factor,production_median_ms,grouped_median_ms,speedup,production_gbps,grouped_gbps,max_abs_error,status,error
2,4096,1,4,24,6,0.3319680094718933,0.39577600359916687,0.838777506602202,151.61595865839422,127.17205576459044,7.62939453125e-06,ok,
2,4096,1,8,24,6,0.3319680094718933,0.3574400097131729,0.9287376915031992,151.61595865839422,140.81145543944152,1.52587890625e-05,ok,
2,4096,2,4,12,3,0.3319680094718933,0.6349439918994904,0.5228303814306235,151.61595865839422,39.63471474816895,7.62939453125e-06,ok,
2,4096,2,8,12,3,0.3319680094718933,0.5787520110607147,0.5735928396403754,151.61595865839422,43.48291413083305,1.52587890625e-05,ok,
2,4096,3,4,8,2,0.3319680094718933,0.9303039908409119,0.35683820852130693,151.61595865839422,18.03412235696731,1.52587890625e-05,ok,
2,4096,3,8,8,2,0.3319680094718933,0.8524159789085388,0.38944367267370555,151.61595865839422,19.68195859195659,1.52587890625e-05,ok,
2,4096,6,4,4,1,0.3319680094718933,1.6207199692726135,0.20482749380874357,151.61595865839422,5.17585280556816,1.52587890625e-05,ok,
2,4096,6,8,4,1,0.3319680094718933,1.4921759963035583,0.22247242302131226,151.61595865839422,5.621728281905345,1.52587890625e-05,ok,
2,8192,1,4,24,6,0.6279360055923462,0.7482880055904388,0.8391635318233805,160.30820832616857,134.5248022792659,3.814697265625e-06,ok,
2,8192,1,8,24,6,0.6279360055923462,0.673471987247467,0.9323862276124802,160.30820832616857,149.46916561655192,1.52587890625e-05,ok,
2,8192,2,4,12,3,0.6279360055923462,1.2274720072746277,0.5115684935142112,160.30820832616857,41.004314315690195,3.814697265625e-06,ok,
2,8192,2,8,12,3,0.6279360055923462,1.1151039600372314,0.5631188015612288,160.30820832616857,45.13628307652993,1.52587890625e-05,ok,
2,8192,3,4,8,2,0.6279360055923462,1.8191840052604675,0.34517454186963314,160.30820832616857,18.44477078897565,3.814697265625e-06,ok,
2,8192,3,8,8,2,0.6279360055923462,1.661679983139038,0.3778922608227656,160.30820832616857,20.193077090940918,1.52587890625e-05,ok,
2,8192,6,4,4,1,0.6279360055923462,3.200447916984558,0.1962025384821708,160.30820832616857,5.242146235520492,3.814697265625e-06,ok,
2,8192,6,8,4,1,0.6279360055923462,2.9417279958724976,0.21345821451656832,160.30820832616857,5.703183986942336,1.52587890625e-05,ok,
