batch_size,context_length,production_median_ms,production_gbps,best_heads_per_program,best_num_warps,best_grouped_median_ms,best_speedup,best_gbps,successful_configs,failed_configs
48,4096,0.9717920124530792,1243.02272144712,1,4,0.9563200175762177,1.016178679304523,1263.1331874256484,8,0
48,8192,1.9142879843711853,1262.0457965177027,1,4,1.8717120289802551,1.0227470651102917,1290.7536344232608,8,0
48,12288,2.8572800159454346,1268.296644282835,1,4,2.774847984313965,1.0297068639786586,1305.9737601791344,8,0
48,16384,3.8075839281082153,1269.0037302475644,1,4,3.686511993408203,1.0328418664896517,1310.6801813312252,8,0
64,256,0.1034879982471466,972.7050257518678,2,4,0.10195200145244598,1.0150658817170652,493.67984230772026,8,0
64,512,0.17281600087881088,1164.9765703187547,2,4,0.16121600568294525,1.071953123678543,624.4001367827523,8,0
64,1024,0.31060799956321716,1296.3387439029857,2,4,0.2781759947538376,1.116588078845837,723.73819379403,8,0
64,2048,0.5873599946498871,1371.0609768035467,2,4,0.5137760043144226,1.143221928851376,783.713487237101,8,0
64,4096,1.157584011554718,1391.357102312455,2,4,0.9990719854831696,1.1586592641719295,806.0543981828688,8,0
64,8192,2.2895359992980957,1406.933751200039,2,4,1.9819679856300354,1.1551831391314271,812.6330736306078,8,0
64,12288,3.417359948158264,1413.909649934315,2,4,2.9750399589538574,1.1486769910008012,812.0627411167726,8,0
64,16384,4.502607822418213,1430.8265783050047,2,4,3.9375200271606445,1.1435136307522618,818.0848477671957,8,0
96,256,0.1372479945421219,1100.1613867200012,3,4,0.13382399827241898,1.0255858165493819,376.10330471177764,8,0
96,512,0.23975999653339386,1259.5507689621554,3,4,0.22526399791240692,1.0643511557786685,446.8681055689269,8,0
96,1024,0.45083199441432953,1339.7003395569184,3,4,0.40776000916957855,1.1056307246325332,493.7379524049221,8,0
96,2048,0.8731519877910614,1383.4470617835384,3,4,0.7790719866752625,1.1207590604268691,516.8369430382771,8,0
96,4096,1.7150400280952454,1408.6663077381136,3,4,1.5223039984703064,1.1266081083795423,529.0049614329434,8,0
96,8192,3.3870879411697388,1426.546429240722,3,4,3.006335973739624,1.1266498391250968,535.7394350028469,8,0
96,12288,5.05998420715332,1432.367575723619,3,4,4.490031957626343,1.1269372367292199,538.0627859221689,8,0
96,16384,6.736112117767334,1434.6074185004804,3,4,5.993935823440552,1.123821194652159,537.4140743053534,8,0
128,256,0.17070399969816208,1179.390010521046,2,4,0.1597599983215332,1.0685027634677546,630.090742724001,8,0
128,512,0.3070079982280731,1311.5397198898809,2,4,0.2800000011920929,1.0964571318606942,719.0235397959183,8,0
128,1024,0.5797120034694672,1389.1490312092783,2,4,0.514384001493454,1.1270023985706028,782.7871450724427,8,0
128,2048,1.1354719996452332,1418.4521824432657,2,4,0.9866079986095428,1.1508846484576336,816.2374206725905,8,0
128,4096,2.236543893814087,1440.269283741482,2,4,1.9286240339279175,1.15965779460865,835.1097506131134,8,0
128,8192,4.444399833679199,1449.5660123060434,2,4,3.8136481046676636,1.1653932695676708,844.6572372677552,8,0
128,12288,6.639679908752441,1455.4431160546337,2,4,5.70032000541687,1.1647907314752366,847.6433258849373,8,0
128,16384,8.847087860107422,1456.4003536236555,2,4,7.594111919403076,1.1649930833259083,848.3481692624829,8,0
192,256,0.23756800591945648,1271.172382119437,2,4,0.2186560034751892,1.0864920338051143,690.5593333829196,8,0
192,512,0.4418880045413971,1366.816410024133,2,4,0.39481601119041443,1.1192251378282643,764.8876424475966,8,0
192,1024,0.8542720079421997,1414.022162460614,2,4,0.7446879744529724,1.1471542944811546,811.0507980791111,8,0
192,2048,1.6738879680633545,1443.297968618029,2,4,1.4449599981307983,1.1584320467201152,835.9813099065841,8,0
192,4096,3.3102400302886963,1459.6640013378728,2,4,2.843935966491699,1.1639643329846956,849.4984178495046,8,0
192,8192,6.577264070510864,1469.2547406340354,2,4,5.646399974822998,1.1648597513173953,855.7378558984333,8,0
192,12288,9.848688125610352,1471.821875068429,2,4,8.44539213180542,1.1661611411174275,858.1907386756955,8,0
192,16384,13.121119976043701,1472.9956640353512,2,4,11.240335941314697,1.1673245394575833,859.7319925715416,8,0
256,256,0.30484800040721893,1320.8326230191174,2,4,0.26580800116062164,1.1468729273616045,757.4135884583211,8,0
256,512,0.5749920010566711,1400.5522972842698,2,4,0.48923200368881226,1.1752951497882966,823.0311610115293,8,0
256,1024,1.1167359948158264,1442.250221607323,2,4,0.9291360080242157,1.201907993201703,866.7260347733844,8,0
256,2048,2.201311945915222,1463.3207610476745,2,4,1.8135839700698853,1.2137910249782347,888.0828032119937,8,0
256,4096,4.362352132797241,1476.8296432477475,2,4,3.569375991821289,1.2221610003521464,902.4617970706852,8,0
256,8192,8.693504333496094,1482.1298056244636,2,4,7.094111919403076,1.2254535073965391,908.1405843597249,8,0
256,12288,13.0065598487854,1485.9696227673037,2,4,10.610623836517334,1.225805386109557,910.7547835916738,8,0
256,16384,17.32910442352295,1487.082260351518,2,4,14.130448341369629,1.2263662132211781,911.8537201878407,8,0
