tokens,num_warps,baseline_median_ms,fused_median_ms,speedup,q_max_abs_error,k_max_abs_error,v_max_abs_error,status,error
3072,8,0.08775999769568443,0.1315999999642372,0.6668692835830816,0.001953125,0.001953125,0.0,ok,
4096,1,0.08710400015115738,0.08419200032949448,1.034587607020459,0.001953125,0.001953125,0.0,ok,
4096,2,0.08710400015115738,0.08336000144481659,1.044913611341757,0.001953125,0.001953125,0.0,ok,
4096,4,0.08710400015115738,0.10627199709415436,0.8196326646048195,0.001953125,0.001953125,0.0,ok,
4096,8,0.08710400015115738,0.15747199952602386,0.5531396083959838,0.001953125,0.001953125,0.0,ok,
6144,1,0.10646399855613708,0.10099199786782265,1.0541825174651573,0.001953125,0.0009765625,0.0,ok,
6144,2,0.10646399855613708,0.1024319976568222,1.0393627088365813,0.001953125,0.0009765625,0.0,ok,
6144,4,0.10646399855613708,0.1398720070719719,0.7611530054141246,0.001953125,0.0009765625,0.0,ok,
6144,8,0.10646399855613708,0.21081600338220596,0.505009092517135,0.001953125,0.0009765625,0.0,ok,
8192,1,0.12601600587368011,0.11507199704647064,1.0951057521213423,0.001953125,0.001953125,0.0,ok,
8192,2,0.12601600587368011,0.11374400183558464,1.107891439021413,0.001953125,0.001953125,0.0,ok,
8192,4,0.12601600587368011,0.1587359979748726,0.7938716326565576,0.001953125,0.001953125,0.0,ok,
8192,8,0.12601600587368011,0.26209600269794464,0.4808009453654607,0.001953125,0.001953125,0.0,ok,
12288,1,0.16758400201797485,0.14471999555826187,1.1579878880697472,0.001953125,0.001953125,0.0,ok,
12288,2,0.16758400201797485,0.144384004175663,1.1606826045223533,0.001953125,0.001953125,0.0,ok,
12288,4,0.16758400201797485,0.2101760059595108,0.7973507787100063,0.001953125,0.001953125,0.0,ok,
12288,8,0.16758400201797485,0.365231990814209,0.4588426157423425,0.001953125,0.001953125,0.0,ok,
16384,1,0.20892800390720367,0.1743360012769699,1.1984214526939676,0.001953125,0.0009765625,0.0,ok,
16384,2,0.20892800390720367,0.174064002931118,1.2002941469172252,0.001953125,0.0009765625,0.0,ok,
16384,4,0.20892800390720367,0.26259198784828186,0.7956373902310999,0.001953125,0.0009765625,0.0,ok,
16384,8,0.20892800390720367,0.46931199729442596,0.44517933722485115,0.001953125,0.0009765625,0.0,ok,
