batch_size,query_length,prefix_length,context_length,attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup_vs_sdpa,speedup_vs_production,max_abs_error,status,error
1,512,0,512,131328,64,64,4,2,0.17632000148296356,0.07479999959468842,2.3572192839354527,1.0235293918433672,0.00048828125,ok,
1,512,0,512,131328,128,64,8,2,0.17632000148296356,0.07747199758887291,2.2759191316926612,0.9882280111237464,0.00048828125,ok,
1,512,128,640,196864,32,16,4,2,0.17855999618768692,0.10713599994778633,1.6666666318950651,0.75672042043317,0.00048828125,ok,
1,512,128,640,196864,32,32,2,2,0.17855999618768692,0.09534400328993797,1.8727973446289208,0.8503104141482257,0.00048828125,ok,
1,512,128,640,196864,32,32,4,2,0.17855999618768692,0.08739200234413147,2.043207517829319,0.9276821305086058,0.00048828125,ok,
1,512,128,640,196864,64,32,4,2,0.17855999618768692,0.08107199892401695,2.202486660715478,1.0,0.00048828125,ok,
1,512,128,640,196864,64,64,4,2,0.17855999618768692,0.0774880014359951,2.30435671173139,1.0462522896655455,0.00048828125,ok,
1,512,128,640,196864,128,64,8,2,0.17855999618768692,0.08187200129032135,2.1809653284827633,0.990228620850887,0.00048828125,ok,
1,512,512,1024,393472,32,16,4,2,0.1977120041847229,0.13817600160837173,1.4308707871363389,0.6947660933665968,0.000244140625,ok,
1,512,512,1024,393472,32,32,2,2,0.1977120041847229,0.11719999834895134,1.686962516808704,0.8191126466455619,0.000244140625,ok,
1,512,512,1024,393472,32,32,4,2,0.1977120041847229,0.1069440022110939,1.8487432684112988,0.8976660574659736,0.000244140625,ok,
1,512,512,1024,393472,64,32,4,2,0.1977120041847229,0.09600000083446503,2.0595000256889806,1.0,0.000244140625,ok,
1,512,512,1024,393472,64,64,4,2,0.1977120041847229,0.09094399958848953,2.1739972409322825,1.0555946656057935,0.000244140625,ok,
1,512,512,1024,393472,128,64,8,2,0.1977120041847229,0.09564799815416336,2.0670793743749347,1.0036801886824052,0.000244140625,ok,
1,512,2048,2560,1179904,32,16,4,2,0.2569120079278946,0.26497599482536316,0.9695671039831995,0.5888533546789779,0.0001220703125,ok,
1,512,2048,2560,1179904,32,32,2,2,0.2569120079278946,0.2072639986872673,1.2395399565533773,0.7528176839709887,0.0001220703125,ok,
1,512,2048,2560,1179904,32,32,4,2,0.2569120079278946,0.18704000115394592,1.3735671853233122,0.8342172930906382,0.0001220703125,ok,
1,512,2048,2560,1179904,64,32,4,2,0.2569120079278946,0.1560320034623146,1.6465340585718038,1.0,0.0001220703125,ok,
1,512,2048,2560,1179904,64,64,4,2,0.2569120079278946,0.142815999686718,1.7989021432574661,1.0925386777713093,0.0001220703125,ok,
1,512,2048,2560,1179904,128,64,8,2,0.2569120079278946,0.1555519998073578,1.651614947066353,1.0030858083184484,0.0001220703125,ok,
1,512,8192,8704,4325632,32,16,4,2,0.5584959983825684,0.774832010269165,0.7207962383853439,0.5162822307955276,6.103515625e-05,ok,
1,512,8192,8704,4325632,32,32,2,2,0.5584959983825684,0.5732159912586212,0.974320338056634,0.6978730615578079,6.103515625e-05,ok,
1,512,8192,8704,4325632,32,32,4,2,0.5584959983825684,0.5071040093898773,1.1013440794020213,0.7888559178122976,6.103515625e-05,ok,
1,512,8192,8704,4325632,64,32,4,2,0.5584959983825684,0.40003199875354767,1.396128310042136,1.0,6.103515625e-05,ok,
1,512,8192,8704,4325632,64,64,4,2,0.5584959983825684,0.3506559878587723,1.5927176997402488,1.1408104028004271,6.103515625e-05,ok,
1,512,8192,8704,4325632,128,64,8,2,0.5584959983825684,0.3978559970855713,1.4037641822009446,1.0054693197637243,6.103515625e-05,ok,
1,512,16384,16896,8519936,32,16,4,2,1.0285760164260864,1.4477280378341675,0.7104759937956706,0.5030226631598719,3.0517578125e-05,ok,
1,512,16384,16896,8519936,32,32,2,2,1.0285760164260864,1.0510240197181702,0.9786417789974932,0.6928861752539534,3.0517578125e-05,ok,
1,512,16384,16896,8519936,32,32,4,2,1.0285760164260864,0.9313919842243195,1.1043427835410282,0.7818834877874222,3.0517578125e-05,ok,
1,512,16384,16896,8519936,64,32,4,2,1.0285760164260864,0.7282400131225586,1.4124134871630338,1.0,3.0517578125e-05,ok,
1,512,16384,16896,8519936,64,64,4,2,1.0285760164260864,0.617279976606369,1.666303874104109,1.1797564164096437,3.0517578125e-05,ok,
1,512,16384,16896,8519936,128,64,8,2,1.0285760164260864,0.7212800085544586,1.4260425968099268,1.0096495181975842,3.0517578125e-05,ok,
1,1024,0,1024,524800,32,16,4,2,0.2653440088033676,0.14367999881505966,1.8467706778374213,0.7007795107787366,0.00048828125,ok,
1,1024,0,1024,524800,32,32,2,2,0.2653440088033676,0.1215359978377819,2.183254455667785,0.8284623574054046,0.00048828125,ok,
1,1024,0,1024,524800,32,32,4,2,0.2653440088033676,0.10915200039744377,2.430958734949412,0.9224567475784435,0.00048828125,ok,
1,1024,0,1024,524800,64,32,4,2,0.2653440088033676,0.10068799927830696,2.6353091798948425,1.0,0.00048828125,ok,
1,1024,0,1024,524800,64,64,4,2,0.2653440088033676,0.09601600095629692,2.7635394742605746,1.0486585389464051,0.00048828125,ok,
1,1024,0,1024,524800,128,64,8,2,0.2653440088033676,0.09587199985980988,2.767690349542833,1.0502336388678586,0.00048828125,ok,
1,1024,128,1152,655872,32,16,4,2,0.22705599665641785,0.15559999644756317,1.4592288036004883,0.6816452548658852,0.00048828125,ok,
1,1024,128,1152,655872,32,32,2,2,0.22705599665641785,0.12654399871826172,1.7942849835331711,0.8381590617487245,0.00048828125,ok,
1,1024,128,1152,655872,32,32,4,2,0.22705599665641785,0.11748800054192543,1.9325888227657193,0.9027645269848749,0.00048828125,ok,
1,1024,128,1152,655872,64,32,4,2,0.22705599665641785,0.10606399923563004,2.1407451943424647,1.0,0.00048828125,ok,
1,1024,128,1152,655872,64,64,4,2,0.22705599665641785,0.09947199746966362,2.282612216826791,1.0662699245380771,0.00048828125,ok,
1,1024,128,1152,655872,128,64,8,2,0.22705599665641785,0.10167999938130379,2.2330448272816112,1.0431156557927002,0.00048828125,ok,
1,1024,512,1536,1049088,32,16,4,2,0.25198400020599365,0.19352000206708908,1.3021082963746373,0.6428276131172875,0.00048828125,ok,
1,1024,512,1536,1049088,32,32,2,2,0.25198400020599365,0.15214399993419647,1.6562204248276553,0.8176464472673484,0.00048828125,ok,
1,1024,512,1536,1049088,32,32,4,2,0.25198400020599365,0.14035199582576752,1.795371691891049,0.8863429428796236,0.00048828125,ok,
1,1024,512,1536,1049088,64,32,4,2,0.25198400020599365,0.12440000101923943,2.025594840365173,1.0,0.00048828125,ok,
1,1024,512,1536,1049088,64,64,4,2,0.25198400020599365,0.11576000228524208,2.176779502691133,1.074637167963315,0.000244140625,ok,
1,1024,512,1536,1049088,128,64,8,2,0.25198400020599365,0.11648000031709671,2.163324171703388,1.0679945113374132,0.000244140625,ok,
1,1024,2048,3072,2621952,32,16,4,2,0.3521919995546341,0.34361599385738373,1.0249581097811467,0.5634661913550488,0.0001220703125,ok,
1,1024,2048,3072,2621952,32,32,2,2,0.3521919995546341,0.2540480047464371,1.3863206676476503,0.7621236606079476,0.0001220703125,ok,
1,1024,2048,3072,2621952,32,32,4,2,0.3521919995546341,0.23875200003385544,1.4751373789735487,0.8109502551603537,0.0001220703125,ok,
