pattern,batch_size,max_prompt_length,total_prompt_tokens,causal_attention_pairs,block_m,block_n,num_warps,num_stages,sdpa_median_ms,triton_median_ms,speedup,triton_pairs_per_second,max_abs_error,status,error
ramp,1,4096,4096,8390656,128,64,4,2,0.32875199615955353,0.4121920019388199,0.7975700513673455,20356183430.374744,0.00048828125,ok,
ramp,1,8192,8192,33558528,32,32,4,2,0.8741599917411804,1.9731360077857971,0.4430307836316567,17007711514.85828,0.00048828125,ok,
ramp,1,8192,8192,33558528,64,32,4,2,0.8741599917411804,1.0207039713859558,0.8564285201655563,32877826422.515812,0.00048828125,ok,
ramp,1,8192,8192,33558528,64,64,4,2,0.8741599917411804,1.0349439978599548,0.8446447281676673,32425453038.417477,0.00048828125,ok,
ramp,1,8192,8192,33558528,128,64,4,2,0.8741599917411804,1.1968480348587036,0.7303851168075663,28039088524.686275,0.00048828125,ok,
ramp,1,16384,16384,134225920,32,32,4,2,2.927664041519165,7.540607929229736,0.38825305187538406,17800410956.217293,0.00048828125,ok,
ramp,1,16384,16384,134225920,64,32,4,2,2.927664041519165,3.597216010093689,0.8138694015884007,37313833704.55534,0.00048828125,ok,
ramp,1,16384,16384,134225920,64,64,4,2,2.927664041519165,3.701088070869446,0.7910279316404943,36266610637.14384,0.00048828125,ok,
ramp,1,16384,16384,134225920,128,64,4,2,2.927664041519165,4.062335968017578,0.7206848632334727,33041560584.04552,0.00048828125,ok,
ramp,2,128,192,10336,32,32,4,2,0.10321599990129471,0.050832001492381096,2.030531886822618,203336474.98710436,0.0009765625,ok,
ramp,2,128,192,10336,64,32,4,2,0.10321599990129471,0.04955200105905533,2.0829834859400216,208588952.59712538,0.0009765625,ok,
ramp,2,128,192,10336,64,64,4,2,0.10321599990129471,0.049536000937223434,2.0836562893338826,208656326.80156654,0.0009765625,ok,
ramp,2,128,192,10336,128,64,4,2,0.10321599990129471,0.0540159996598959,1.9108412424314953,191350712.1052866,0.0009765625,ok,
ramp,2,256,384,41152,32,32,4,2,0.10905599966645241,0.056304000318050385,1.9369138791278808,730889453.1035154,0.00048828125,ok,
ramp,2,256,384,41152,64,32,4,2,0.10905599966645241,0.052671998739242554,2.0704739192895243,781287989.5393121,0.00048828125,ok,
ramp,2,256,384,41152,64,64,4,2,0.10905599966645241,0.05119999870657921,2.1300000472937257,803750020.3044333,0.00048828125,ok,
ramp,2,256,384,41152,128,64,4,2,0.10905599966645241,0.0619680006057024,1.7598760424814623,664084682.3806208,0.00048828125,ok,
ramp,2,512,768,164224,32,32,4,2,0.1156960017979145,0.06838399916887283,1.6918577913556312,2401497455.4859295,0.00048828125,ok,
ramp,2,512,768,164224,64,32,4,2,0.1156960017979145,0.06435199826955795,1.7978618366019739,2551964265.539941,0.00048828125,ok,
ramp,2,512,768,164224,64,64,4,2,0.1156960017979145,0.07716799899935722,1.4992743533349646,2128136042.5241544,0.00048828125,ok,
ramp,2,512,768,164224,128,64,4,2,0.1156960017979145,0.09110400080680847,1.2699332715722864,1802599211.293112,0.00048828125,ok,
ramp,2,2048,3072,2622976,32,32,4,2,0.23043200373649597,0.23534400016069412,0.9791284399821358,11145285191.927639,0.00048828125,ok,
ramp,2,2048,3072,2622976,64,32,4,2,0.23043200373649597,0.17215999960899353,1.3384758611747716,15235687766.945007,0.00048828125,ok,
ramp,2,2048,3072,2622976,64,64,4,2,0.23043200373649597,0.16041599959135056,1.4364652174565298,16351087215.002634,0.00048828125,ok,
ramp,2,2048,3072,2622976,128,64,4,2,0.23043200373649597,0.20843200385570526,1.105550008990083,12584324630.951838,0.00048828125,ok,
ramp,2,4096,6144,10488832,32,32,4,2,0.4843840003013611,0.693120002746582,0.6988457963728125,15132779256.747145,0.00048828125,ok,
ramp,2,4096,6144,10488832,64,32,4,2,0.4843840003013611,0.39260800182819366,1.2337598776535605,26715787633.360416,0.00048828125,ok,
ramp,2,4096,6144,10488832,64,64,4,2,0.4843840003013611,0.3986240029335022,1.2151400736953746,26312595134.291824,0.00048828125,ok,
ramp,2,4096,6144,10488832,128,64,4,2,0.4843840003013611,0.4830720126628876,1.0027159255847617,21712771025.96222,0.00048828125,ok,
ramp,2,8192,12288,41949184,32,32,4,2,1.2276800274848938,2.4622080326080322,0.4986093828085292,17037221650.018896,0.00048828125,ok,
ramp,2,8192,12288,41949184,64,32,4,2,1.2276800274848938,1.2608479857444763,0.9736939277100892,33270611901.10941,0.00048828125,ok,
ramp,2,8192,12288,41949184,64,64,4,2,1.2276800274848938,1.2892799973487854,0.9522214181631896,32536907488.10369,0.00048828125,ok,
ramp,2,8192,12288,41949184,128,64,4,2,1.2276800274848938,1.4960960149765015,0.8205890632655528,28039098814.562965,0.00048828125,ok,
ramp,2,16384,24576,167784448,32,32,4,2,3.8581759929656982,9.281904220581055,0.41566643021491695,18076511458.49645,0.00048828125,ok,
ramp,2,16384,24576,167784448,64,32,4,2,3.8581759929656982,4.428607940673828,0.8711938479653865,37886498477.0973,0.00048828125,ok,
ramp,2,16384,24576,167784448,64,64,4,2,3.8581759929656982,4.563984155654907,0.8453526264295435,36762714829.34713,0.00048828125,ok,
ramp,2,16384,24576,167784448,128,64,4,2,3.8581759929656982,4.970191955566406,0.7762629748423908,33758142441.981236,0.00048828125,ok,
ramp,4,128,320,15520,32,32,4,2,0.1892160028219223,0.052319999784231186,3.6165138303182953,296636086.850245,0.0009765625,ok,
