component,split,shape,features,baseline_action,selected_action,oracle_action,baseline_ms,selected_ms,oracle_ms,speedup_vs_baseline,oracle_regret,oracle_margin,robust_winner
paged-prefill,train,8x512x2048,"{""attention_pairs"": 9439232, ""batch_size"": 8, ""context_length"": 2560, ""prefix_length"": 2048, ""query_length"": 512, ""total_query_tokens"": 4096}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.3744319975376129,0.3744319975376129,0.3744319975376129,1.0,1.0,1.0647380624399219,True
paged-prefill,train,8x512x16384,"{""attention_pairs"": 68159488, ""batch_size"": 8, ""context_length"": 16896, ""prefix_length"": 16384, ""query_length"": 512, ""total_query_tokens"": 4096}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,2.293824076652527,2.293824076652527,2.293824076652527,1.0,1.0,1.0615914434218372,True
paged-prefill,train,8x768x0,"{""attention_pairs"": 2362368, ""batch_size"": 8, ""context_length"": 768, ""prefix_length"": 0, ""query_length"": 768, ""total_query_tokens"": 6144}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.15086399763822556,0.15086399763822556,0.15086399763822556,1.0,1.0,1.0613002671836005,True
paged-prefill,train,8x768x8192,"{""attention_pairs"": 52694016, ""batch_size"": 8, ""context_length"": 8960, ""prefix_length"": 8192, ""query_length"": 768, ""total_query_tokens"": 6144}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,1.777616024017334,1.777616024017334,1.777616024017334,1.0,1.0,1.1504756257559487,True
paged-prefill,train,8x768x16384,"{""attention_pairs"": 103025664, ""batch_size"": 8, ""context_length"": 17152, ""prefix_length"": 16384, ""query_length"": 768, ""total_query_tokens"": 6144}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,3.399775981903076,3.399775981903076,3.399775981903076,1.0,1.0,1.143524748848047,True
paged-prefill,train,8x1024x0,"{""attention_pairs"": 4198400, ""batch_size"": 8, ""context_length"": 1024, ""prefix_length"": 0, ""query_length"": 1024, ""total_query_tokens"": 8192}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.21539200097322464,0.21539200097322464,0.21539200097322464,1.0,1.0,1.0674491104544626,True
paged-prefill,train,8x1024x2048,"{""attention_pairs"": 20975616, ""batch_size"": 8, ""context_length"": 3072, ""prefix_length"": 2048, ""query_length"": 1024, ""total_query_tokens"": 8192}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.7614719867706299,0.7614719867706299,0.7614719867706299,1.0,1.0,1.0582451167793052,True
paged-prefill,train,8x1024x8192,"{""attention_pairs"": 71307264, ""batch_size"": 8, ""context_length"": 9216, ""prefix_length"": 8192, ""query_length"": 1024, ""total_query_tokens"": 8192}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,2.3875200748443604,2.3875200748443604,2.3875200748443604,1.0,1.0,1.06852297062558,True
paged-prefill,train,8x1536x0,"{""attention_pairs"": 9443328, ""batch_size"": 8, ""context_length"": 1536, ""prefix_length"": 0, ""query_length"": 1536, ""total_query_tokens"": 12288}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.39691199362277985,0.39691199362277985,0.39691199362277985,1.0,1.0,1.0705849191665529,True
paged-prefill,train,8x1536x2048,"{""attention_pairs"": 34609152, ""batch_size"": 8, ""context_length"": 3584, ""prefix_length"": 2048, ""query_length"": 1536, ""total_query_tokens"": 12288}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,1.212607979774475,1.212607979774475,1.212607979774475,1.0,1.0,1.0663298103939867,True
paged-prefill,train,8x1536x8192,"{""attention_pairs"": 110106624, ""batch_size"": 8, ""context_length"": 9728, ""prefix_length"": 8192, ""query_length"": 1536, ""total_query_tokens"": 12288}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,3.6545599699020386,3.6545599699020386,3.6545599699020386,1.0,1.0,1.0593012528985943,True
paged-prefill,train,8x1536x16384,"{""attention_pairs"": 210769920, ""batch_size"": 8, ""context_length"": 17920, ""prefix_length"": 16384, ""query_length"": 1536, ""total_query_tokens"": 12288}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,6.998800039291382,6.998800039291382,6.998800039291382,1.0,1.0,1.0516179559289451,True
paged-prefill,train,8x2048x0,"{""attention_pairs"": 16785408, ""batch_size"": 8, ""context_length"": 2048, ""prefix_length"": 0, ""query_length"": 2048, ""total_query_tokens"": 16384}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.639167994260788,0.639167994260788,0.639167994260788,1.0,1.0,1.078527083540531,True
paged-prefill,train,8x2048x16384,"{""attention_pairs"": 285220864, ""batch_size"": 8, ""context_length"": 18432, ""prefix_length"": 16384, ""query_length"": 2048, ""total_query_tokens"": 16384}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,9.448815822601318,9.448815822601318,9.448815822601318,1.0,1.0,1.0556548291767855,True
paged-prefill,holdout,1x128x8192,"{""attention_pairs"": 1056832, ""batch_size"": 1, ""context_length"": 8320, ""prefix_length"": 8192, ""query_length"": 128, ""total_query_tokens"": 128}",tile-64x32x4x2,tile-64x64x4x2,tile-64x64x4x2,0.456496000289917,0.40886400640010834,0.40886400640010834,1.116498378786605,1.0,1.116498378786605,True
paged-prefill,holdout,1x256x8192,"{""attention_pairs"": 2130048, ""batch_size"": 1, ""context_length"": 8448, ""prefix_length"": 8192, ""query_length"": 256, ""total_query_tokens"": 256}",tile-64x32x4x2,tile-64x64x4x2,tile-64x64x4x2,0.4704640060663223,0.42268800735473633,0.42268800735473633,1.1130289903670971,1.0,1.1130289903670971,True
paged-prefill,holdout,1x384x0,"{""attention_pairs"": 73920, ""batch_size"": 1, ""context_length"": 384, ""prefix_length"": 0, ""query_length"": 384, ""total_query_tokens"": 384}",tile-64x32x4x2,tile-64x64x4x2,tile-64x64x4x2,0.06510400027036667,0.06286400184035301,0.06286400184035301,1.0356324504396375,1.0,1.0356324504396375,True
paged-prefill,holdout,1x768x0,"{""attention_pairs"": 295296, ""batch_size"": 1, ""context_length"": 768, ""prefix_length"": 0, ""query_length"": 768, ""total_query_tokens"": 768}",tile-64x32x4x2,tile-64x64x4x2,tile-128x64x8x2,0.08726400136947632,0.08382400125265121,0.08286399766802788,1.0410383668808258,1.0115852917025476,1.0115852917025476,False
paged-prefill,holdout,1x1536x16384,"{""attention_pairs"": 26346240, ""batch_size"": 1, ""context_length"": 17920, ""prefix_length"": 16384, ""query_length"": 1536, ""total_query_tokens"": 1536}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,1.2228959798812866,1.2228959798812866,1.2228959798812866,1.0,1.0,1.2236396141891592,True
paged-prefill,holdout,1x2048x0,"{""attention_pairs"": 2098176, ""batch_size"": 1, ""context_length"": 2048, ""prefix_length"": 0, ""query_length"": 2048, ""total_query_tokens"": 2048}",tile-64x32x4x2,tile-64x32x4x2,tile-64x64x4x2,0.1642879992723465,0.1642879992723465,0.1637439951300621,1.0,1.0033222845323415,1.0033222845323415,False
paged-prefill,holdout,2x256x0,"{""attention_pairs"": 65792, ""batch_size"": 2, ""context_length"": 256, ""prefix_length"": 0, ""query_length"": 256, ""total_query_tokens"": 512}",tile-64x32x4x2,tile-64x64x4x2,tile-64x64x4x2,0.05886400118470192,0.05774400010704994,0.05774400010704994,1.019395973184671,1.0,1.019395973184671,False
paged-prefill,holdout,2x256x2048,"{""attention_pairs"": 1114368, ""batch_size"": 2, ""context_length"": 2304, ""prefix_length"": 2048, ""query_length"": 256, ""total_query_tokens"": 512}",tile-64x32x4x2,tile-64x64x4x2,tile-64x64x4x2,0.15382400155067444,0.14127999544143677,0.14127999544143677,1.0887882680774674,1.0,1.0887882680774674,True
paged-prefill,holdout,2x1536x8192,"{""attention_pairs"": 27526656, ""batch_size"": 2, ""context_length"": 9728, ""prefix_length"": 8192, ""query_length"": 1536, ""total_query_tokens"": 3072}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,1.1290720105171204,1.1290720105171204,1.1290720105171204,1.0,1.0,1.0952852776678703,True
paged-prefill,holdout,2x2048x8192,"{""attention_pairs"": 37750784, ""batch_size"": 2, ""context_length"": 10240, ""prefix_length"": 8192, ""query_length"": 2048, ""total_query_tokens"": 4096}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,1.3035199642181396,1.3035199642181396,1.3035199642181396,1.0,1.0,1.0301338360989283,True
paged-prefill,holdout,4x384x2048,"{""attention_pairs"": 3441408, ""batch_size"": 4, ""context_length"": 2432, ""prefix_length"": 2048, ""query_length"": 384, ""total_query_tokens"": 1536}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.20790400356054306,0.20790400356054306,0.20790400356054306,1.0,1.0,1.1788517747539697,True
paged-prefill,holdout,8x128x0,"{""attention_pairs"": 66048, ""batch_size"": 8, ""context_length"": 128, ""prefix_length"": 0, ""query_length"": 128, ""total_query_tokens"": 1024}",tile-64x32x4x2,tile-64x64x4x2,tile-64x32x4x2,0.05400000140070915,0.05417599901556969,0.05400000140070915,0.9967513729684994,1.0032592150054689,1.0032592150054689,False
paged-prefill,holdout,8x128x2048,"{""attention_pairs"": 2163200, ""batch_size"": 8, ""context_length"": 2176, ""prefix_length"": 2048, ""query_length"": 128, ""total_query_tokens"": 1024}",tile-64x32x4x2,tile-64x64x4x2,tile-128x64x8x2,0.162943996489048,0.15111999958753586,0.1499359980225563,1.0782424360361589,1.0078967131349033,1.0078967131349033,False
paged-prefill,holdout,8x256x0,"{""attention_pairs"": 263168, ""batch_size"": 8, ""context_length"": 256, ""prefix_length"": 0, ""query_length"": 256, ""total_query_tokens"": 2048}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.06377600133419037,0.06377600133419037,0.06377600133419037,1.0,1.0,1.059458087564414,True
paged-prefill,holdout,8x384x8192,"{""attention_pairs"": 25757184, ""batch_size"": 8, ""context_length"": 8576, ""prefix_length"": 8192, ""query_length"": 384, ""total_query_tokens"": 3072}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,1.0693920254707336,1.0693920254707336,1.0693920254707336,1.0,1.0,1.1224022333571013,True
paged-prefill,holdout,8x512x8192,"{""attention_pairs"": 34605056, ""batch_size"": 8, ""context_length"": 8704, ""prefix_length"": 8192, ""query_length"": 512, ""total_query_tokens"": 4096}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,1.182479977607727,1.182479977607727,1.182479977607727,1.0,1.0,1.0717407603171212,True
paged-prefill,holdout,8x768x2048,"{""attention_pairs"": 14945280, ""batch_size"": 8, ""context_length"": 2816, ""prefix_length"": 2048, ""query_length"": 768, ""total_query_tokens"": 6144}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,0.5625440180301666,0.5625440180301666,0.5625440180301666,1.0,1.0,1.1079381611790096,True
paged-prefill,holdout,8x1024x16384,"{""attention_pairs"": 138416128, ""batch_size"": 8, ""context_length"": 17408, ""prefix_length"": 16384, ""query_length"": 1024, ""total_query_tokens"": 8192}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,4.607360124588013,4.607360124588013,4.607360124588013,1.0,1.0,1.0598937037420926,True
paged-prefill,holdout,8x2048x2048,"{""attention_pairs"": 50339840, ""batch_size"": 8, ""context_length"": 4096, ""prefix_length"": 2048, ""query_length"": 2048, ""total_query_tokens"": 16384}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,1.7023360133171082,1.7023360133171082,1.7023360133171082,1.0,1.0,1.077408909989857,True
paged-prefill,holdout,8x2048x8192,"{""attention_pairs"": 151003136, ""batch_size"": 8, ""context_length"": 10240, ""prefix_length"": 8192, ""query_length"": 2048, ""total_query_tokens"": 16384}",tile-64x32x4x2,tile-64x32x4x2,tile-64x32x4x2,5.05844783782959,5.05844783782959,5.05844783782959,1.0,1.0,1.0505515286377674,True
