batch_size,context_length,num_kv_blocks,actual_k,heads_per_program,pipeline_stages,min_pages_per_split,max_pages_per_split,active_programs_C,launched_programs_per_sm_C,programs_A,programs_B,programs_C,programs_D,prod_ms,time_A_ms,time_B_ms,time_C_ms,time_D_ms,speedup_B_vs_A,speedup_C_vs_B,speedup_D_vs_C,speedup_D_vs_prod
96,8192,512,3,6,2,170,171,576,4.363636363636363,1152,192,576,576,3.3800129890441895,3.013815999031067,4.041485071182251,3.503993034362793,3.62452495098114,0.7457199385743218,1.1533941510580663,0.966745458163912,0.932539583740274
96,16384,1024,3,6,2,341,342,576,4.363636363636363,1152,192,576,576,6.750699996948242,6.015093088150024,8.066705226898193,6.997051954269409,7.242053031921387,0.7456691324349961,1.152871992321868,0.9661696653459915,0.9321527979970089
128,512,32,3,6,2,10,11,768,5.818181818181818,1536,256,768,768,0.2765769958496094,0.2505210041999817,0.2588440030813217,0.2579919993877411,0.2591949999332428,0.9678455023788008,1.0033024423067483,0.9953587046593817,1.0670614630716002
128,2048,128,3,6,2,42,43,768,5.818181818181818,1536,256,768,768,1.110768973827362,0.9959940016269684,0.9986970126628876,0.9980269968509674,1.0010749697685242,0.9972934623798343,1.0006713403685814,0.9969553000428514,1.1095762129425752
128,8192,512,3,6,2,170,171,768,5.818181818181818,1536,256,768,768,4.440442085266113,3.9684760570526123,3.9552770853042603,3.93048095703125,3.986171007156372,1.0033370536282762,1.0063086753361958,0.986029186900125,1.1139617636308599
128,16384,1024,3,6,2,341,342,768,5.818181818181818,1536,256,768,768,8.875434875488281,7.926472187042236,7.9003307819366455,7.8393189907073975,7.97344708442688,1.0033089000735718,1.0077827922682532,0.9831781546551615,1.113123945203461
256,512,32,2,6,2,16,16,1024,7.757575757575758,3072,512,1024,1024,0.5460990071296692,0.4892200082540512,0.4980659931898117,0.5054360032081604,0.5068100094795227,0.9822393316212832,0.9854185100159685,0.9972889125201506,1.0775221422530605
256,2048,128,2,6,2,64,64,1024,7.757575757575758,3072,512,1024,1024,2.1835819482803345,1.944959044456482,1.9496139883995056,1.968645989894867,1.9957169890403748,0.9976123766187966,0.9903324408791355,0.9864354518731011,1.0941340682429592
256,8192,512,2,6,2,256,256,1024,7.757575757575758,3072,512,1024,1024,8.71937084197998,7.760586977005005,7.745184898376465,7.818753957748413,7.984320878982544,1.0019886005086551,0.9905906926129782,0.9792634935715122,1.0920616761448476
256,16384,1024,2,6,2,512,512,1024,7.757575757575758,3072,512,1024,1024,17.43252468109131,15.508508682250977,15.492339134216309,15.626293182373047,15.960625171661377,1.0010437125016813,0.9914276503970985,0.9790527009003415,1.0922206676492434
